t: 1.12464
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.92     1.88     1.86     1.85     1.84     1.84     1.84     1.83     1.83     1.83     1.83     1.83     1.83     1.83     1.84     1.84     1.85     1.87     1.91        0
       19|        0   0.0765    0.117    0.138    0.151    0.159    0.164    0.168     0.17    0.172    0.173    0.173    0.173    0.172    0.171    0.168    0.164    0.155    0.137   0.0936        0
       18|        0  -0.0286    -0.03  -0.0257   -0.021  -0.0173  -0.0145  -0.0124  -0.0111  -0.0102 -0.00979 -0.00979  -0.0102   -0.011  -0.0125  -0.0146  -0.0176  -0.0214  -0.0249  -0.0231        0
       17|        0  -0.0143  -0.0218  -0.0239  -0.0235  -0.0224  -0.0212  -0.0202  -0.0194   -0.019  -0.0188   -0.019  -0.0196  -0.0206   -0.022   -0.024  -0.0266  -0.0295  -0.0308  -0.0249        0
       16|        0 -0.00835  -0.0145  -0.0177  -0.0189  -0.0191  -0.0188  -0.0185  -0.0181  -0.0179  -0.0179  -0.0181  -0.0185  -0.0192  -0.0201  -0.0212  -0.0222  -0.0226  -0.0208  -0.0141        0
       15|        0 -0.00546  -0.0102  -0.0133  -0.0151  -0.0159  -0.0163  -0.0164  -0.0164  -0.0164  -0.0164  -0.0166  -0.0169  -0.0172  -0.0176  -0.0178  -0.0177  -0.0167  -0.0138 -0.00816        0
       14|        0 -0.00387 -0.00753  -0.0103  -0.0121  -0.0133   -0.014  -0.0144  -0.0146  -0.0147  -0.0149   -0.015  -0.0151  -0.0152  -0.0151  -0.0149  -0.0141  -0.0125 -0.00966 -0.00523        0
       13|        0  -0.0029 -0.00578 -0.00813  -0.0099  -0.0111   -0.012  -0.0125  -0.0129  -0.0131  -0.0133  -0.0133  -0.0133  -0.0132  -0.0129  -0.0123  -0.0113 -0.00962 -0.00708 -0.00366        0
       12|        0 -0.00226 -0.00458 -0.00657 -0.00817 -0.00939  -0.0103  -0.0109  -0.0113  -0.0116  -0.0118  -0.0118  -0.0117  -0.0115   -0.011  -0.0103 -0.00918 -0.00757 -0.00541 -0.00272        0
       11|        0 -0.00182 -0.00372 -0.00541 -0.00682 -0.00795 -0.00882 -0.00947 -0.00992  -0.0102  -0.0103  -0.0104  -0.0102 -0.00991  -0.0094 -0.00863 -0.00754 -0.00609 -0.00426 -0.00211        0
       10|        0  -0.0015 -0.00308 -0.00451 -0.00575 -0.00678  -0.0076 -0.00822 -0.00866 -0.00895 -0.00908 -0.00907  -0.0089 -0.00857 -0.00804 -0.00728 -0.00627 -0.00499 -0.00344 -0.00169        0
        9|        0 -0.00125 -0.00259 -0.00382  -0.0049 -0.00582 -0.00657 -0.00715 -0.00757 -0.00784 -0.00796 -0.00794 -0.00776 -0.00742  -0.0069 -0.00619 -0.00527 -0.00415 -0.00284 -0.00138        0
