t: 8.70596
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.91     1.85     1.81     1.78     1.75     1.72      1.7     1.68     1.66     1.64     1.62     1.61     1.59     1.58     1.56     1.55     1.56      1.6     1.74        0
       19|        0   0.0861    0.146     0.19    0.225    0.255     0.28    0.303    0.324    0.343    0.361    0.378    0.394    0.409    0.425    0.439     0.45    0.444    0.398    0.264        0
       18|        0  -0.0381   -0.036   -0.026  -0.0149 -0.00405  0.00663   0.0169   0.0269    0.037   0.0473   0.0584   0.0706   0.0848    0.101     0.12    0.135    0.148    0.144   0.0914        0
       17|        0  -0.0108  -0.0195   -0.023  -0.0235  -0.0226  -0.0209  -0.0182  -0.0148  -0.0105 -0.00476  0.00289   0.0133   0.0273    0.045    0.064   0.0783   0.0761   0.0594   0.0291        0
       16|        0 -0.00697  -0.0136  -0.0176  -0.0197  -0.0207  -0.0208  -0.0202  -0.0187  -0.0163  -0.0126 -0.00706 0.000916   0.0121   0.0264   0.0421   0.0538   0.0507   0.0274  0.00147        0
       15|        0 -0.00452 -0.00986  -0.0139  -0.0166  -0.0183  -0.0193  -0.0197  -0.0194  -0.0185  -0.0167   -0.014 -0.00983 -0.00397  0.00363   0.0119   0.0172    0.012 -0.00738  -0.0183        0
       14|        0 -0.00323 -0.00766  -0.0115  -0.0145  -0.0167  -0.0184  -0.0196  -0.0204   -0.021  -0.0213  -0.0217  -0.0222  -0.0231  -0.0245  -0.0271  -0.0318   -0.038  -0.0429  -0.0349        0
       13|        0 -0.00251 -0.00634 -0.00995   -0.013  -0.0156  -0.0178  -0.0198  -0.0216  -0.0235  -0.0259  -0.0291   -0.034  -0.0413  -0.0516  -0.0641  -0.0756  -0.0803  -0.0731  -0.0484        0
       12|        0 -0.00211 -0.00554 -0.00898  -0.0121  -0.0149  -0.0176  -0.0201  -0.0227  -0.0257  -0.0295  -0.0346  -0.0422  -0.0535  -0.0692   -0.088   -0.104   -0.108  -0.0939  -0.0572        0
       11|        0 -0.00189 -0.00506 -0.00836  -0.0115  -0.0145  -0.0174  -0.0203  -0.0235  -0.0271  -0.0316  -0.0376  -0.0459  -0.0577  -0.0739  -0.0935   -0.111   -0.118   -0.102  -0.0604        0
       10|        0 -0.00176 -0.00474 -0.00793  -0.0111  -0.0141  -0.0171  -0.0203  -0.0237  -0.0276  -0.0323  -0.0382  -0.0459   -0.056   -0.069  -0.0844  -0.0992   -0.106  -0.0943  -0.0562        0
        9|        0 -0.00168 -0.00453 -0.00761  -0.0107  -0.0137  -0.0168    -0.02  -0.0235  -0.0273  -0.0318  -0.0371  -0.0435  -0.0512  -0.0601  -0.0697  -0.0782  -0.0814  -0.0719  -0.0429        0
