t: 5.75352
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.91     1.85     1.81     1.77     1.74     1.72      1.7     1.68     1.66     1.64     1.62     1.61     1.59     1.58     1.56     1.55     1.55     1.59     1.73        0
       19|        0   0.0866    0.147    0.191    0.226    0.255    0.281    0.304    0.324    0.343     0.36    0.377    0.392    0.408    0.423    0.438    0.453    0.454     0.41    0.272        0
       18|        0  -0.0373  -0.0357  -0.0267  -0.0168  -0.0072  0.00192   0.0105   0.0185   0.0262   0.0337   0.0414   0.0496   0.0595   0.0726    0.091    0.115    0.145    0.148    0.093        0
       17|        0  -0.0111  -0.0206  -0.0253  -0.0273  -0.0279  -0.0278  -0.0273  -0.0265  -0.0253  -0.0237  -0.0213  -0.0176  -0.0114 -0.00151    0.013   0.0297   0.0364   0.0322   0.0117        0
       16|        0 -0.00742  -0.0148  -0.0199  -0.0233  -0.0257  -0.0275  -0.0289  -0.0299  -0.0306  -0.0311  -0.0312  -0.0307  -0.0297  -0.0282  -0.0272  -0.0298  -0.0391  -0.0451   -0.034        0
       15|        0 -0.00509  -0.0112  -0.0161  -0.0198  -0.0228  -0.0251  -0.0271  -0.0289  -0.0305  -0.0321   -0.034  -0.0365  -0.0404  -0.0473  -0.0589  -0.0753   -0.091  -0.0915  -0.0601        0
       14|        0  -0.0038 -0.00888  -0.0134  -0.0171  -0.0202  -0.0229  -0.0253  -0.0275  -0.0297  -0.0322  -0.0353  -0.0395   -0.046  -0.0565  -0.0726  -0.0935   -0.112   -0.111  -0.0729        0
       13|        0 -0.00303 -0.00736  -0.0114   -0.015  -0.0182   -0.021  -0.0236  -0.0261  -0.0287  -0.0316  -0.0352    -0.04  -0.0468  -0.0567  -0.0707   -0.088   -0.103   -0.104  -0.0712        0
       12|        0 -0.00253  -0.0063 -0.00999  -0.0134  -0.0165  -0.0193   -0.022  -0.0246  -0.0273  -0.0304   -0.034  -0.0385  -0.0443  -0.0519  -0.0614  -0.0718    -0.08  -0.0785  -0.0543        0
       11|        0 -0.00219 -0.00552 -0.00888   -0.012   -0.015  -0.0177  -0.0204   -0.023  -0.0257  -0.0286  -0.0318  -0.0356  -0.0401  -0.0452  -0.0506  -0.0551  -0.0565  -0.0508  -0.0325        0
       10|        0 -0.00194 -0.00492 -0.00798  -0.0109  -0.0137  -0.0163  -0.0188  -0.0213  -0.0238  -0.0264  -0.0292  -0.0321  -0.0352  -0.0383  -0.0407  -0.0415  -0.0391  -0.0315  -0.0174        0
        9|        0 -0.00174 -0.00444 -0.00723 -0.00993  -0.0125   -0.015  -0.0173  -0.0196  -0.0218  -0.0241  -0.0263  -0.0284  -0.0304  -0.0319  -0.0325  -0.0314  -0.0276  -0.0203 -0.00978        0
