t: 5.41379
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.91     1.85     1.81     1.77     1.74     1.72      1.7     1.68     1.66     1.64     1.62     1.61     1.59     1.58     1.56     1.55     1.55     1.59     1.73        0
       19|        0   0.0868    0.147    0.191    0.226    0.256    0.281    0.304    0.325    0.343    0.361    0.377    0.392    0.407    0.422    0.437    0.452    0.454     0.41    0.271        0
       18|        0  -0.0371  -0.0356  -0.0267   -0.017 -0.00759  0.00126  0.00952   0.0172   0.0245   0.0315   0.0385   0.0461   0.0551   0.0671   0.0846    0.108    0.139    0.143   0.0897        0
       17|        0  -0.0111  -0.0207  -0.0256  -0.0277  -0.0285  -0.0286  -0.0283  -0.0278   -0.027  -0.0259  -0.0242  -0.0214  -0.0165 -0.00853  0.00359   0.0174   0.0216   0.0194  0.00502        0
       16|        0 -0.00747   -0.015  -0.0202  -0.0237  -0.0263  -0.0282  -0.0297   -0.031   -0.032  -0.0328  -0.0335  -0.0338  -0.0341  -0.0345  -0.0365  -0.0427   -0.054  -0.0584  -0.0411        0
       15|        0 -0.00516  -0.0113  -0.0163  -0.0202  -0.0232  -0.0256  -0.0278  -0.0297  -0.0315  -0.0334  -0.0355  -0.0384  -0.0428  -0.0503   -0.063  -0.0812  -0.0988     -0.1   -0.066        0
       14|        0 -0.00387   -0.009  -0.0136  -0.0174  -0.0206  -0.0233  -0.0257   -0.028  -0.0304  -0.0329   -0.036  -0.0401  -0.0463  -0.0561   -0.071   -0.091    -0.11   -0.111  -0.0751        0
       13|        0 -0.00309 -0.00746  -0.0116  -0.0152  -0.0184  -0.0212  -0.0238  -0.0264  -0.0289  -0.0318  -0.0352  -0.0397  -0.0458  -0.0544  -0.0662  -0.0809  -0.0943  -0.0958  -0.0672        0
       12|        0 -0.00258 -0.00638  -0.0101  -0.0135  -0.0166  -0.0194   -0.022  -0.0246  -0.0273  -0.0301  -0.0335  -0.0375  -0.0426  -0.0489  -0.0565  -0.0645  -0.0701  -0.0674  -0.0463        0
       11|        0 -0.00223 -0.00557 -0.00892  -0.0121   -0.015  -0.0177  -0.0203  -0.0228  -0.0254  -0.0281   -0.031  -0.0343  -0.0381  -0.0422  -0.0462  -0.0492   -0.049  -0.0425   -0.026        0
       10|        0 -0.00196 -0.00495 -0.00798  -0.0109  -0.0136  -0.0162  -0.0186   -0.021  -0.0233  -0.0257  -0.0281  -0.0307  -0.0332  -0.0356  -0.0372  -0.0371  -0.0341  -0.0266   -0.014        0
        9|        0 -0.00176 -0.00444  -0.0072 -0.00985  -0.0124  -0.0148   -0.017  -0.0192  -0.0213  -0.0233  -0.0252   -0.027  -0.0286  -0.0296  -0.0298  -0.0283  -0.0244  -0.0176 -0.00825        0
