t: 6.40679
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.91     1.85     1.81     1.77     1.75     1.72      1.7     1.68     1.66     1.64     1.62     1.61     1.59     1.58     1.56     1.55     1.55     1.59     1.73        0
       19|        0   0.0865    0.146     0.19    0.225    0.255    0.281    0.303    0.324    0.343     0.36    0.377    0.392    0.408    0.423    0.439    0.453    0.453    0.408     0.27        0
       18|        0  -0.0376  -0.0359  -0.0266  -0.0164 -0.00648  0.00308   0.0121   0.0208   0.0292   0.0375   0.0461   0.0556    0.067   0.0816    0.101    0.124    0.151    0.151   0.0957        0
       17|        0  -0.0111  -0.0204  -0.0248  -0.0265  -0.0268  -0.0263  -0.0253  -0.0239  -0.0221  -0.0195  -0.0158  -0.0102  -0.0016   0.0115   0.0295   0.0493   0.0582   0.0507    0.022        0
       16|        0 -0.00733  -0.0146  -0.0194  -0.0226  -0.0247  -0.0262  -0.0271  -0.0277  -0.0278  -0.0274  -0.0262   -0.024  -0.0203  -0.0149 -0.00841 -0.00422 -0.00944  -0.0201  -0.0217        0
       15|        0 -0.00497  -0.0109  -0.0156  -0.0192  -0.0219   -0.024  -0.0257  -0.0271  -0.0283  -0.0294  -0.0305  -0.0319  -0.0343  -0.0387  -0.0463  -0.0577  -0.0695   -0.071  -0.0486        0
       14|        0 -0.00368 -0.00863   -0.013  -0.0166  -0.0196  -0.0221  -0.0243  -0.0263  -0.0283  -0.0306  -0.0334  -0.0375  -0.0442   -0.055  -0.0713  -0.0911   -0.106   -0.102  -0.0649        0
       13|        0 -0.00292 -0.00715  -0.0112  -0.0147  -0.0177  -0.0205   -0.023  -0.0254   -0.028   -0.031  -0.0349  -0.0403  -0.0483  -0.0604  -0.0777  -0.0986   -0.115   -0.111  -0.0715        0
       12|        0 -0.00244 -0.00615 -0.00981  -0.0132  -0.0162   -0.019  -0.0217  -0.0245  -0.0273  -0.0307  -0.0348  -0.0402  -0.0476  -0.0578  -0.0711  -0.0865  -0.0989  -0.0971  -0.0652        0
       11|        0 -0.00212 -0.00543 -0.00879   -0.012  -0.0149  -0.0178  -0.0205  -0.0233  -0.0262  -0.0295  -0.0334  -0.0382  -0.0442  -0.0515  -0.0599  -0.0682  -0.0735  -0.0695  -0.0463        0
       10|        0 -0.00189 -0.00488 -0.00798   -0.011  -0.0138  -0.0165  -0.0192  -0.0219  -0.0247  -0.0278  -0.0312   -0.035  -0.0394   -0.044  -0.0485  -0.0514   -0.051  -0.0439  -0.0264        0
        9|        0 -0.00172 -0.00445 -0.00731  -0.0101  -0.0128  -0.0154  -0.0179  -0.0204   -0.023  -0.0257  -0.0285  -0.0314  -0.0343  -0.0369  -0.0387  -0.0385  -0.0352  -0.0272  -0.0141        0
