t: 8.62758
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.91     1.85     1.81     1.78     1.75     1.72      1.7     1.68     1.66     1.64     1.62     1.61     1.59     1.58     1.56     1.55     1.56      1.6     1.74        0
       19|        0   0.0861    0.146     0.19    0.225    0.255     0.28    0.303    0.324    0.343    0.361    0.378    0.394    0.409    0.425    0.439     0.45    0.445    0.399    0.264        0
       18|        0  -0.0381   -0.036   -0.026   -0.015 -0.00413  0.00652   0.0167   0.0267   0.0368   0.0471    0.058   0.0702   0.0843    0.101    0.119    0.135    0.148    0.144   0.0915        0
       17|        0  -0.0109  -0.0196   -0.023  -0.0236  -0.0228   -0.021  -0.0185  -0.0151  -0.0108 -0.00524   0.0023   0.0126   0.0265   0.0441   0.0634   0.0781   0.0763   0.0597   0.0292        0
       16|        0 -0.00698  -0.0136  -0.0176  -0.0198  -0.0208   -0.021  -0.0204   -0.019  -0.0167  -0.0131 -0.00771 0.000104   0.0111   0.0253   0.0409   0.0528   0.0501    0.027  0.00117        0
       15|        0 -0.00454  -0.0099  -0.0139  -0.0167  -0.0185  -0.0195  -0.0199  -0.0197  -0.0188  -0.0172  -0.0146  -0.0106 -0.00504  0.00224   0.0101   0.0152  0.00993  -0.0088  -0.0189        0
       14|        0 -0.00324  -0.0077  -0.0115  -0.0145  -0.0168  -0.0185  -0.0197  -0.0206  -0.0213  -0.0217  -0.0222  -0.0229  -0.0241   -0.026  -0.0291  -0.0342  -0.0404  -0.0447  -0.0357        0
       13|        0 -0.00253 -0.00637    -0.01  -0.0131  -0.0157  -0.0179  -0.0199  -0.0218  -0.0237  -0.0261  -0.0294  -0.0344  -0.0419  -0.0526  -0.0656  -0.0775  -0.0824  -0.0748  -0.0491        0
       12|        0 -0.00212 -0.00557 -0.00902  -0.0122   -0.015  -0.0176  -0.0202  -0.0228  -0.0258  -0.0296  -0.0348  -0.0423  -0.0535  -0.0694  -0.0884   -0.105    -0.11  -0.0951  -0.0578        0
       11|        0 -0.00189 -0.00507 -0.00837  -0.0115  -0.0145  -0.0174  -0.0203  -0.0235  -0.0271  -0.0316  -0.0375  -0.0457  -0.0573  -0.0733  -0.0928   -0.111   -0.118   -0.103  -0.0607        0
       10|        0 -0.00176 -0.00475 -0.00793  -0.0111  -0.0141  -0.0171  -0.0203  -0.0237  -0.0275  -0.0322   -0.038  -0.0456  -0.0554  -0.0681  -0.0831  -0.0977   -0.105  -0.0934   -0.056        0
        9|        0 -0.00168 -0.00453  -0.0076  -0.0107  -0.0137  -0.0168    -0.02  -0.0234  -0.0272  -0.0316  -0.0368   -0.043  -0.0506  -0.0592  -0.0684  -0.0765  -0.0795  -0.0703  -0.0421        0
