t: 2.40561
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.91     1.85     1.81     1.78     1.75     1.74     1.72     1.71     1.71      1.7      1.7     1.69     1.69     1.69     1.69     1.69      1.7     1.74     1.82        0
       19|        0   0.0914    0.152    0.193    0.223    0.246    0.264    0.277    0.287    0.295    0.301    0.306     0.31    0.313    0.315    0.315    0.312      0.3    0.266    0.177        0
       18|        0  -0.0341  -0.0351  -0.0294   -0.023  -0.0172  -0.0123 -0.00827 -0.00506 -0.00258-0.000776 0.000418  0.00106  0.00127  0.00133   0.0019  0.00357  0.00638  0.00741  0.00236        0
       17|        0  -0.0139  -0.0249  -0.0304  -0.0328  -0.0336  -0.0336  -0.0333  -0.0329  -0.0327  -0.0328  -0.0333  -0.0343  -0.0361  -0.0391  -0.0438  -0.0507  -0.0593  -0.0638  -0.0493        0
       16|        0 -0.00906  -0.0176  -0.0235  -0.0271  -0.0293  -0.0305  -0.0313  -0.0318  -0.0323  -0.0329  -0.0338  -0.0352  -0.0373  -0.0403  -0.0447  -0.0508  -0.0576  -0.0603   -0.046        0
       15|        0 -0.00638  -0.0131  -0.0184  -0.0221  -0.0247  -0.0265  -0.0278  -0.0287  -0.0295  -0.0304  -0.0314  -0.0326  -0.0343  -0.0365  -0.0392  -0.0421   -0.044  -0.0417  -0.0287        0
       14|        0  -0.0048  -0.0102  -0.0147  -0.0183  -0.0209  -0.0229  -0.0245  -0.0256  -0.0266  -0.0275  -0.0285  -0.0295  -0.0306  -0.0318  -0.0329  -0.0333  -0.0321  -0.0272  -0.0162        0
       13|        0 -0.00378 -0.00816   -0.012  -0.0153  -0.0178  -0.0199  -0.0215  -0.0228  -0.0238  -0.0247  -0.0255  -0.0262  -0.0268  -0.0272  -0.0271  -0.0262  -0.0236  -0.0183 -0.00978        0
       12|        0 -0.00307  -0.0067    -0.01  -0.0129  -0.0153  -0.0172  -0.0188  -0.0201  -0.0211  -0.0219  -0.0226   -0.023  -0.0232   -0.023  -0.0223  -0.0207  -0.0177   -0.013  -0.0065        0
       11|        0 -0.00255 -0.00561 -0.00846   -0.011  -0.0132   -0.015  -0.0165  -0.0177  -0.0186  -0.0194  -0.0198    -0.02    -0.02  -0.0195  -0.0184  -0.0166  -0.0137 -0.00968 -0.00466        0
       10|        0 -0.00216 -0.00476 -0.00723 -0.00945  -0.0114  -0.0131  -0.0144  -0.0156  -0.0164   -0.017  -0.0174  -0.0174  -0.0171  -0.0165  -0.0153  -0.0134  -0.0108 -0.00747 -0.00352        0
        9|        0 -0.00185 -0.00409 -0.00623 -0.00819 -0.00993  -0.0114  -0.0127  -0.0137  -0.0144  -0.0149  -0.0152  -0.0151  -0.0147   -0.014  -0.0127   -0.011 -0.00874 -0.00593 -0.00276        0
