t: 9.62029
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.91     1.85     1.81     1.78     1.75     1.72      1.7     1.68     1.66     1.64     1.62     1.61     1.59     1.58     1.56     1.55     1.56      1.6     1.74        0
       19|        0    0.086    0.146     0.19    0.225    0.255     0.28    0.303    0.324    0.343    0.361    0.378    0.394     0.41    0.425    0.439    0.449    0.443    0.397    0.263        0
       18|        0  -0.0382  -0.0359  -0.0256  -0.0143 -0.00311   0.0079   0.0185    0.029   0.0395   0.0504    0.062   0.0749   0.0895    0.106    0.123    0.135    0.145    0.141   0.0902        0
       17|        0  -0.0108  -0.0192  -0.0222  -0.0223  -0.0209  -0.0187  -0.0154  -0.0113 -0.00604  0.00069   0.0095    0.021   0.0357   0.0531   0.0699   0.0797   0.0728   0.0558   0.0276        0
       16|        0 -0.00681  -0.0131  -0.0167  -0.0184  -0.0189  -0.0185  -0.0172  -0.0149  -0.0115 -0.00661 0.000324  0.00994   0.0227    0.038   0.0532   0.0621   0.0538   0.0282  0.00323        0
       15|        0 -0.00433  -0.0094  -0.0131  -0.0155  -0.0168  -0.0172   -0.017  -0.0159   -0.014  -0.0111 -0.00669-0.000447  0.00807   0.0187   0.0296   0.0365   0.0303  0.00507  -0.0127        0
       14|        0 -0.00304 -0.00723  -0.0108  -0.0135  -0.0153  -0.0166  -0.0173  -0.0175  -0.0172  -0.0165  -0.0153  -0.0135  -0.0108 -0.00756 -0.00483 -0.00531  -0.0122   -0.025  -0.0269        0
       13|        0 -0.00234 -0.00597 -0.00939  -0.0122  -0.0146  -0.0165  -0.0181  -0.0195  -0.0208  -0.0225  -0.0246  -0.0277   -0.032  -0.0378  -0.0448  -0.0517  -0.0557  -0.0548  -0.0401        0
       12|        0 -0.00198 -0.00526 -0.00857  -0.0116  -0.0142  -0.0167   -0.019  -0.0214  -0.0242  -0.0277  -0.0326  -0.0398  -0.0501  -0.0636  -0.0783  -0.0893  -0.0906  -0.0791  -0.0505        0
       11|        0 -0.00179 -0.00487 -0.00811  -0.0112  -0.0141   -0.017  -0.0199  -0.0231  -0.0268  -0.0316  -0.0381  -0.0473  -0.0605  -0.0779   -0.097   -0.111   -0.112  -0.0943  -0.0563        0
       10|        0  -0.0017 -0.00467 -0.00786   -0.011  -0.0141  -0.0172  -0.0205  -0.0241  -0.0284  -0.0336  -0.0405  -0.0498  -0.0625  -0.0789  -0.0977   -0.113   -0.116  -0.0976  -0.0563        0
        9|        0 -0.00167 -0.00455 -0.00771  -0.0109  -0.0141  -0.0173  -0.0208  -0.0246  -0.0289  -0.0341  -0.0406  -0.0487  -0.0589  -0.0714  -0.0854  -0.0975   -0.101  -0.0864  -0.0495        0
